,RandomForest,Permutation
lag_1,0.005864608164994779,0.008741996510817395
sign_lag_1,7.571685717162203e-05,5.419434394726697e-06
abs_lag_1,0.0016016991083090822,0.0021247700410203406
lag_2,0.002632890991373193,0.0021308020503479465
sign_lag_2,0.0002232979196894641,9.985381958351746e-05
abs_lag_2,0.00422398529423282,0.002772239752972827
lag_3,0.0021002076550307365,0.0036557186649951445
sign_lag_3,0.00010766863008715614,5.443166526075682e-06
abs_lag_3,0.0054128904349924345,0.0067068261066613784
lag_4,0.005411485067167467,0.0061592352808558905
sign_lag_4,6.427547665073008e-05,6.859077641807598e-06
abs_lag_4,0.00792529852678105,0.006212315999024376
lag_5,0.0025859985709582624,0.0007774421076207183
sign_lag_5,4.6685364347723756e-05,-7.025603370584e-05
abs_lag_5,0.0031556531257951963,0.004389273662873639
lag_6,0.006473256193343066,0.006829574353051792
sign_lag_6,2.0510585115037088e-05,-2.0010355308541784e-05
abs_lag_6,0.003975630643721165,0.002625001963469964
lag_7,0.0012317932731876764,0.0010846429429912318
sign_lag_7,0.00016351261875374528,0.00012559239341748408
abs_lag_7,0.0030217366215086775,0.0008677301323043674
lag_8,0.010353406581052988,0.015161534396666398
sign_lag_8,6.269421618712822e-05,6.169251061953762e-05
abs_lag_8,0.008539576146197402,0.0048423159370337586
lag_9,0.00683944943165699,0.0028311058965121315
sign_lag_9,0.00047231382131173073,1.6582746902293887e-05
abs_lag_9,0.005656433696069628,0.004223654610342953
lag_10,0.0027745423338502266,0.0036129093551348856
sign_lag_10,5.11513642057829e-05,0.00018297282830717076
abs_lag_10,0.011903092002787824,0.010235290978352417
lag_11,0.00303521510646376,0.0037699651231115185
sign_lag_11,7.858687547821478e-05,1.557942908434473e-05
abs_lag_11,0.002663596295494756,0.0038125649033806997
lag_12,0.0018228030284377012,0.00396989535794926
sign_lag_12,0.00012072266940999079,0.00012048485855598035
abs_lag_12,0.0031899531539612146,0.000956336810816083
lag_13,0.0016469660196761573,0.001473000953080361
sign_lag_13,6.672329085352803e-05,2.1111071784774005e-05
abs_lag_13,0.0018285449254389276,0.0014316590254766504
lag_14,0.0166752893373973,0.02684001137398644
sign_lag_14,0.00021395438650951925,-1.3791411317964908e-05
abs_lag_14,0.007878750025087401,0.006612114709103611
lag_15,0.00489118616032531,0.010593637854972226
sign_lag_15,9.988847549863023e-05,2.516917486374837e-05
abs_lag_15,0.00583075505643629,0.012191936116829028
lag_16,0.0109627064834636,0.006640617003104377
sign_lag_16,0.00021412776766814272,4.516362678514962e-05
abs_lag_16,0.008279762938694696,0.005811164787327139
lag_17,0.0014752410010419323,0.0012640213559345747
sign_lag_17,0.0004364454874034949,0.00018647106555702564
abs_lag_17,0.002472179033517107,0.0022405760592800195
lag_18,0.0020112949502479925,0.0011485652625213838
sign_lag_18,0.00013883830571314234,0.00018219523296593155
abs_lag_18,0.004749400895130719,0.008064390398816578
lag_19,0.0069878006499251985,0.007166067257179154
sign_lag_19,0.00015655549074853847,0.0004386341114538062
abs_lag_19,0.008465688971424343,0.010930795929977432
lag_20,0.004188477755411769,0.0055759838199508915
sign_lag_20,0.00022493670849478353,0.000288355790020578
abs_lag_20,0.0011947613457958034,0.0012274270532511955
lag_21,0.002374891671031454,0.0022283846239050443
sign_lag_21,3.3054076094140557e-05,1.846861431936686e-05
abs_lag_21,0.004313173828007905,0.005636428454531872
lag_22,0.005075234017183468,0.005477684097830981
sign_lag_22,0.00021342728047888632,-2.6583068176000425e-05
abs_lag_22,0.004915458806943299,0.00493585593684287
lag_23,0.0032005253363220115,0.0021149703674883226
sign_lag_23,0.0002013375738946459,0.00017487928298491883
abs_lag_23,0.0013512537311935527,0.001711825470206285
lag_24,0.002262523728238095,0.002561269418478196
sign_lag_24,6.684162177701097e-05,6.24859061958527e-05
abs_lag_24,0.004229475599530241,0.004111076836897343
lag_25,0.01816533941182829,0.008747758375718229
sign_lag_25,0.00011317849183569132,0.00016439595953260389
abs_lag_25,0.0025787705060801346,0.0037460679220070237
lag_26,0.004262954133451995,0.002588651544645315
sign_lag_26,0.0004687822648298244,1.0029045763038092e-05
abs_lag_26,0.004799528735166775,0.007155751415008937
lag_27,0.0014223561174848878,0.001237673768727654
sign_lag_27,0.00038487418339053545,0.00039210915542413626
abs_lag_27,0.002022657995119403,0.0004433185324806743
lag_28,0.00418492057084407,0.005589347228711327
sign_lag_28,6.209484794022194e-05,9.096980238000318e-05
abs_lag_28,0.003262550646907947,0.0023859202519140865
lag_29,0.0028290798782093286,0.002151028336617555
sign_lag_29,0.00013820689722534815,-1.804108417546857e-05
abs_lag_29,0.0010924563448110928,0.0004135836659350911
lag_30,0.005461255445924957,0.0031480696144368324
sign_lag_30,0.00012898387405532372,4.7607131087124e-05
abs_lag_30,0.005175084095169664,0.004554191691853937
lag_31,0.0025062490568731094,0.0006129721694811297
sign_lag_31,3.005961643957161e-05,4.041109131859288e-05
abs_lag_31,0.004839460820831338,0.002519011976645913
lag_32,0.0019509719494070342,0.001960972330561428
sign_lag_32,1.5152364410666153e-05,1.828404447309362e-05
abs_lag_32,0.003626575180622817,0.005057634898199781
lag_33,0.0024387367764129465,0.0009162059399549505
sign_lag_33,7.287170423368795e-05,3.965661957684441e-05
abs_lag_33,0.0018770827310565668,0.0023808944816176457
lag_34,0.0034928212920986553,0.006499297465988485
sign_lag_34,0.00010228136573661511,-2.5161423781416838e-05
abs_lag_34,0.005173210499831727,0.010802826008764865
lag_35,0.0022234343231996843,0.0023713826989591237
sign_lag_35,3.1669053156665116e-05,3.379065562172379e-05
abs_lag_35,0.005152573555973635,0.003990943547811765
lag_36,0.0031232582679005107,0.0028019528724636754
sign_lag_36,6.859170025806057e-05,3.413615762004607e-05
abs_lag_36,0.003611322169473335,0.003456671193484484
lag_37,0.004871461407182598,0.0059407118954186485
sign_lag_37,0.0005166871823263487,0.0007326757647142523
abs_lag_37,0.001450274936569222,0.0006617581685600116
lag_38,0.0019398322711519983,0.0013184910804607708
sign_lag_38,3.0095199148889324e-05,4.761783551222587e-05
abs_lag_38,0.0022085177222441266,0.0027476317837051623
lag_39,0.0023627259508040067,0.00212313729793151
sign_lag_39,5.17899824315901e-05,3.081529268748051e-05
abs_lag_39,0.002666922618177362,0.002317311951733181
lag_40,0.00495988262129432,0.005553016237738362
sign_lag_40,0.00045763859673080676,0.0006277794163618844
abs_lag_40,0.006588269588621865,0.009885855891665917
lag_41,0.004980455495744988,0.0027024450710060543
sign_lag_41,0.00033518180395168364,0.0002648082532039742
abs_lag_41,0.0031143616916576968,0.0037868973094683177
lag_42,0.0023230718546472066,0.0018586849469866106
sign_lag_42,0.00012686804063314914,-9.34357556300891e-05
abs_lag_42,0.0041152837735017305,0.004527844810166992
lag_43,0.0007627424976449514,0.0004951748953495149
sign_lag_43,3.578146231859442e-05,0.0001237341797289293
abs_lag_43,0.0020647834026407542,0.0029129087360712956
lag_44,0.005942150862053253,0.00888175311479098
sign_lag_44,6.206891001092648e-05,-5.786382729997541e-05
abs_lag_44,0.0022780299042387303,0.001283932979867819
lag_45,0.0012857591823529245,0.0005948729968444311
sign_lag_45,0.00024555292245511144,0.0003733667990727718
abs_lag_45,0.0021848054205944063,0.0008072189906658256
lag_46,0.003545752106319866,0.0018810484846938258
sign_lag_46,0.0012606191690028314,0.001264099396800944
abs_lag_46,0.0038700428591413594,0.0037917713964029766
lag_47,0.007804965830776722,0.009268490782090999
sign_lag_47,4.6435042216056285e-05,9.4832916008869e-06
abs_lag_47,0.008330099158806363,0.010122041769528
lag_48,0.0026941878324540903,0.0019449898213157123
sign_lag_48,2.5209896900048038e-05,3.732097731062867e-05
abs_lag_48,0.005072701738116336,0.0024059174600362223
lag_49,0.009451839169211445,0.01028763020795188
sign_lag_49,0.0001328131512318565,0.00015968018940846208
abs_lag_49,0.002620663193296761,0.0017677066887487047
lag_50,0.003875608938592567,0.003442934211759041
sign_lag_50,0.00028788446855002573,0.0004746573651913777
abs_lag_50,0.003459624119512422,0.0014641800493705337
lag_51,0.003917815450571046,0.009436878348535105
sign_lag_51,0.000603949820419072,0.00013154944519188082
abs_lag_51,0.008531501137604466,0.004337123921646868
lag_52,0.004874712151537574,0.00279597312881662
sign_lag_52,8.903891773797299e-05,3.647309051230119e-05
abs_lag_52,0.00674541915121456,0.0020200050800187387
lag_53,0.005746495585768474,0.007436031261924614
sign_lag_53,1.1312570218176819e-05,1.8229084832011022e-05
abs_lag_53,0.002195911438600988,0.0028291815127824303
lag_54,0.002109563893425927,0.0017205801901126528
sign_lag_54,0.00020941238916904431,-9.009098644311431e-05
abs_lag_54,0.004631158855411664,0.006858911495066333
lag_55,0.0019457601375606043,0.001528254822898889
sign_lag_55,0.000586702968667007,0.00025690794155412976
abs_lag_55,0.0032053959744190227,0.0032862672312767736
lag_56,0.002672664247335788,0.0013379359478859377
sign_lag_56,0.00037162218300395867,6.817150980950037e-05
abs_lag_56,0.004977038548907075,0.0031047519926175717
lag_57,0.002822620130861149,0.0009204112285191246
sign_lag_57,0.00019120114702668225,0.0001445261508607909
abs_lag_57,0.0016736679627818334,0.001383399015654052
lag_58,0.0019914372297717207,0.0019912403836348292
sign_lag_58,0.00022429962599844895,-2.887857454397791e-05
abs_lag_58,0.0025144221387141223,0.001781180755680689
lag_59,0.0025690552283847818,0.0029603501256107332
sign_lag_59,0.00047715122794505545,0.0009067368694751776
abs_lag_59,0.002125473130727902,0.0027918905943870144
lag_60,0.003048539585763771,0.0055770893746401986
sign_lag_60,0.00015934521976173,0.000154458990484152
abs_lag_60,0.002728463993149454,0.007338125892233915
lag_61,0.0027362155947802196,0.0026442291597637444
sign_lag_61,5.5507724372234744e-05,0.00016825895175944793
abs_lag_61,0.005060941616869605,0.004145120247522216
lag_62,0.0015554933900097931,0.0012950521840618067
sign_lag_62,4.2742475409188516e-05,2.8602840647284912e-05
abs_lag_62,0.0030549807318551252,0.0017014092692905435
lag_63,0.0013273227873253832,0.0010073834102880875
sign_lag_63,0.000884905144925615,0.00026454949002596706
abs_lag_63,0.0017225892554233774,0.0018675695113434033
lag_64,0.0015740976488978742,0.001571571751673717
sign_lag_64,1.8094889509831288e-05,3.340080879721263e-05
abs_lag_64,0.0026323595793116034,0.00231694876947981
lag_65,0.0022573792938777775,0.000762635727552341
sign_lag_65,0.0001744587266807007,9.5559840412629e-05
abs_lag_65,0.002471668410364267,0.0007598111311420408
lag_66,0.0016896100603882073,0.0012065307718544306
sign_lag_66,0.000683849883569958,0.0007161931858554405
abs_lag_66,0.004157105940869627,0.0010273722136688423
lag_67,0.0024440733874709496,0.0008644031260500951
sign_lag_67,7.134314213691338e-05,-3.4295587141963678e-06
abs_lag_67,0.004083329398797961,0.00412801183151934
lag_68,0.004587699992687852,0.004491404025760637
sign_lag_68,0.00011210327852085152,0.0003128544215204587
